PageID,Title,Body,Image,AccessLevel,ShowDismissButton,FinalMessage
1,Welcome to ChlamAtlas,Let’s tour some key features to help you get started.,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/design/onboard_welcome.png,"Admin, Full, Limited, Guest",FALSE,
2,Gene annotations,"Navigate through genomes, orthologs, and structures. Edit gene details as new information emerges.",https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/design/onboard_genes.png,"Admin, Full, Limited, Guest",FALSE,
3,Mutant collections,"Browse the libraries of transposon, knockout, and chimera mutants.",https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/design/onboard_mutants.png,"Admin, Full, Limited, Guest",FALSE,
4,Mutant pipeline,Add and update information as mutants progress through the creation and testing pipeline.,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/design/onboard_pipeline.png,"Admin, Full",FALSE,
5,Request new features,Quickly suggest new features to include in the app,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/design/onboard_newfeat.png,"Admin, Full",FALSE,
6,Report bugs,Alert the team to bugs so that they can be squashed.,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/design/onboard_bugs.png,"Admin, Full",FALSE,
7,Pro tips,Use the AppSheet app for improved syncing. Then add ChlamAtlas to your home screen!,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/design/protipv2.png,"Admin, Full, Limited",TRUE,You're all set!
