CategoryID,ViewLink,DisplayName,Description,Icon
CT,Mutants_CT_ListView,C. trachomatis,Pathogenic human strain,https://raw.githubusercontent.com/khybiske/ChlamDB/refs/heads/main/design/L2icon.jpg
CM,Mutants_CM_ListView,C. muridarum,Mouse adapted strain,https://raw.githubusercontent.com/khybiske/ChlamDB/refs/heads/main/design/CMicon.jpg
L17,Lucky17_Dashboard,Lucky 17,Screening collection,https://raw.githubusercontent.com/khybiske/ChlamDB/refs/heads/main/design/L17icon.jpg
Chim,Chimeras_Dashboard,Chimeras,Cross-species hybrids,https://raw.githubusercontent.com/khybiske/ChlamDB/refs/heads/main/design/Chimeraicon.jpg
