MutantID,MutantName,Strain,Category,TargetGene(s),Creator,Timestamp,CurrentStatus,Plasmid_Complete,Transformation_Complete,Cloning_Complete,Genotyping_Complete,InVitro_Test_Complete,InVivo_Test_Complete,Archived,Notes,MovetoMutantsDB,IncludeInPipelineAfterGenotyping
M100,CT∆ompA,L2434,C. trachomatis,CTL0050,Kevin,,Genotyping,2024-11-01,2024-11-05,2025-01-01,,,,FALSE,,,
M101,Tn::CTL0676,L2434,C. trachomatis,CTL0676,Kevin,,In vivo testing,2024-10-01,2024-10-04,2024-10-08,2024-10-12,2024-10-18,,FALSE,,,
M102,CM∆TC0541,CM,C. muridarum,TC0541,Kevin,,Archived,2024-09-12,2024-09-15,2024-09-20,2024-09-25,2024-10-01,2024-10-10,TRUE,,,
KH001,CT∆CTL0397-399,L2434,C. trachomatis,"CTL0397, CTL0398, CTL0399",Kevin,,Transformation,2025-06-13,,,,,,,,,
M999,TestMutant,L2434,C. trachomatis,,,,Genotyping,2024-09-12,2024-09-15,2024-09-20,,,,FALSE,,,FALSE
